Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.234086238532
FDW14,OUT017,1481.8506141732278
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1481.8506141732278
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.8398258992797
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3737.29577518248
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.5013364485976
DRC27,OUT046,4109.900606217617
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.8398258992797
NCR06,OUT018,507.046403669725
FDU31,OUT027,5329.3147244444435
FDU59,OUT017,2503.5013364485976
FDR03,OUT027,5329.3147244444435
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.3484761904742
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1511.874771698113
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.29577518248
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040932
FDM03,OUT013,1511.874771698113
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.3147244444435
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.046403669725
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1424.5946902777778
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.3003068965513
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2568.332833644861
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.3003068965513
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.48208181818177
FDB53,OUT046,2660.950403030303
DRP47,OUT019,584.7577647727271
FDA14,OUT013,2660.950403030303
DRC24,OUT035,2660.950403030303
FDW21,OUT018,1372.6884907407407
NCH29,OUT046,1559.342975268817
FDU58,OUT013,2893.8398258992797
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818176
FDT59,OUT046,4109.900606217617
FDB23,OUT046,3753.0000993630574
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.3147244444435
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407407
NCT29,OUT013,1987.251048648648
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.1080642424226
NCU05,OUT013,1243.0689297709919
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1559.342975268817
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2243.669596721311
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727271
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.2631852760742
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890879999999
FDO27,OUT035,1559.342975268817
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040932
FDX24,OUT013,1481.8506141732278
FDZ02,OUT035,1559.342975268817
FDL46,OUT045,1827.8328454545453
FDS60,OUT027,5329.3147244444435
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1481.8506141732278
FDC60,OUT049,1259.549051315789
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.3147244444435
FDK27,OUT045,1827.8328454545453
FDW23,OUT018,507.046403669725
FDM14,OUT018,1372.6884907407407
FDM14,OUT013,1690.234086238532
FDW60,OUT018,2851.631695876289
FDE21,OUT013,1922.1493817142857
NCM42,OUT035,1879.0540499999997
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1259.549051315789
FDT28,OUT019,346.8972837209302
FDQ22,OUT018,507.046403669725
FDR60,OUT049,1259.549051315789
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2503.5013364485976
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1559.342975268817
NCY06,OUT035,1987.251048648648
FDE52,OUT035,1424.5946902777778
NCB54,OUT045,1827.8328454545453
NCF31,OUT035,2286.4132673684203
FDJ08,OUT027,5329.3147244444435
NCC07,OUT017,1690.234086238532
NCD19,OUT027,1378.2631852760742
FDL46,OUT049,1987.251048648648
FDM20,OUT045,4109.900606217617
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4433.304032653059
NCH07,OUT018,2232.84702184874
FDS23,OUT013,2142.7435709401716
FDO49,OUT018,713.858654545455
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1481.8506141732278
DRI39,OUT049,796.6402682539683
FDV04,OUT017,2503.5013364485976
NCN14,OUT035,3384.1080642424226
FDH08,OUT013,4109.900606217617
FDS20,OUT046,3384.1080642424226
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.48208181818177
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2568.332833644861
FDS48,OUT045,2660.950403030303
FDK26,OUT010,482.69954262295073
FDD23,OUT045,3391.591252727272
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.21852093023253
FDM60,OUT010,92.67548155339804
FDV24,OUT017,2503.5013364485976
FDH08,OUT018,3327.952582926828
FDS12,OUT027,3242.062071532848
FDR39,OUT027,5329.3147244444435
FDP12,OUT027,1378.2631852760742
DRF60,OUT027,6280.890879999999
FDC09,OUT035,1784.4287381818176
FDF50,OUT018,2893.8398258992797
FDG28,OUT035,4109.900606217617
NCE19,OUT017,935.0323883040932
NCM53,OUT010,281.48208181818177
NCN18,OUT049,1511.874771698113
FDF32,OUT035,3130.004904950494
FDF11,OUT013,4109.900606217617
DRI59,OUT049,3753.0000993630574
NCG54,OUT035,2894.220710714286
FDM44,OUT046,1690.234086238532
FDT57,OUT018,3327.952582926828
FDV24,OUT046,2503.5013364485976
FDI50,OUT019,584.7577647727271
FDS09,OUT035,713.858654545455
NCC31,OUT027,4117.317712631578
FDQ07,OUT019,584.7577647727271
FDC22,OUT017,3391.591252727272
FDZ56,OUT046,2894.220710714286
FDZ40,OUT019,165.91858165137623
FDS46,OUT027,3242.062071532848
DRD24,OUT045,1827.8328454545453
FDV45,OUT017,2939.3484761904742
FDL26,OUT045,2894.220710714286
FDA56,OUT018,1752.2524400000002
FDN27,OUT046,1922.1493817142857
FDM20,OUT049,4109.900606217617
FDO16,OUT017,1481.8506141732278
FDL03,OUT035,3130.004904950494
FDE58,OUT046,1922.1493817142857
FDI02,OUT027,3242.062071532848
NCC55,OUT019,92.67548155339804
FDR03,OUT018,3327.952582926828
FDB14,OUT017,1424.5946902777778
FDR45,OUT013,4109.900606217617
NCN07,OUT017,2243.669596721311
FDM51,OUT019,219.21852093023253
FDT52,OUT027,6280.890879999999
FDL26,OUT046,2660.950403030303
NCZ42,OUT046,4109.900606217617
DRI47,OUT019,346.8972837209302
FDW40,OUT013,2309.200798
FDN34,OUT046,2894.220710714286
FDS01,OUT035,2851.631695876289
NCG55,OUT045,1827.8328454545453
FDC11,OUT035,1424.5946902777778
FDX35,OUT018,3327.952582926828
NCB06,OUT046,2894.220710714286
FDR09,OUT019,584.7577647727271
FDC53,OUT017,1559.342975268817
FDY45,OUT013,4433.304032653059
FDA22,OUT010,425.93559145299156
FDE02,OUT035,1559.342975268817
FDW21,OUT045,1879.0540499999997
FDV34,OUT046,1103.1862133333332
FDS59,OUT049,1784.4287381818176
NCW17,OUT017,2243.669596721311
NCK54,OUT046,1922.1493817142857
FDG17,OUT019,584.7577647727271
FDG35,OUT017,3104.1898299065424
FDD08,OUT010,92.67548155339804
NCO07,OUT017,3753.0000993630574
FDJ10,OUT010,281.48208181818177
FDW36,OUT017,1511.874771698113
FDW21,OUT010,219.21852093023253
FDY19,OUT017,1922.1493817142857
DRE03,OUT013,798.217603539823
NCC55,OUT049,677.1027476190474
FDH52,OUT010,165.91858165137623
FDO09,OUT017,4034.3003068965513
FDU43,OUT045,4109.900606217617
FDX09,OUT010,425.93559145299156
FDH40,OUT019,219.21852093023253
FDW58,OUT017,1690.234086238532
FDC47,OUT017,3737.29577518248
NCR41,OUT035,1559.342975268817
DRG49,OUT035,3737.29577518248
FDC52,OUT027,4117.317712631578
FDY13,OUT046,1103.1862133333332
FDY35,OUT013,507.046403669725
FDI35,OUT017,3384.1080642424226
NCU18,OUT049,2309.200798
FDY33,OUT018,2232.84702184874
FDC15,OUT027,4117.317712631578
FDU01,OUT049,2752.9709346534646
NCU42,OUT046,2649.1102324324333
NCV29,OUT018,2851.631695876289
NCY30,OUT017,3384.1080642424226
FDQ46,OUT049,1879.0540499999997
FDG58,OUT027,4117.317712631578
FDK33,OUT017,3753.0000993630574
NCD07,OUT045,1827.8328454545453
NCX29,OUT027,4117.317712631578
NCT42,OUT013,2649.1102324324333
DRN59,OUT035,798.217603539823
FDI44,OUT035,1243.0689297709919
FDA45,OUT049,2568.332833644861
FDP31,OUT045,1103.1862133333332
FDY01,OUT046,1922.1493817142857
FDT09,OUT018,1752.2524400000002
DRH03,OUT027,2517.882088484848
FDA36,OUT018,2752.9709346534646
NCF31,OUT017,2286.4132673684203
FDG14,OUT049,2286.4132673684203
FDG28,OUT027,6280.890879999999
FDU14,OUT049,4433.304032653059
FDY47,OUT019,281.48208181818177
FDI56,OUT049,1259.549051315789
DRD01,OUT013,796.6402682539683
FDM22,OUT046,935.0323883040932
FDH33,OUT013,507.046403669725
DRZ24,OUT013,1922.1493817142857
NCQ38,OUT046,1690.234086238532
FDO16,OUT027,2517.882088484848
FDU07,OUT027,4117.317712631578
NCB07,OUT013,2893.8398258992797
FDU48,OUT045,1827.8328454545453
NCM43,OUT045,2894.220710714286
FDR31,OUT010,346.8972837209302
DRK49,OUT018,507.046403669725
NCI30,OUT010,584.7577647727271
DRD60,OUT017,3384.1080642424226
NCG19,OUT046,3454.0625591549287
FDH12,OUT035,1511.874771698113
FDM32,OUT035,1424.5946902777778
FDM27,OUT035,2894.220710714286
NCU53,OUT027,4117.317712631578
NCQ18,OUT046,1559.342975268817
FDS10,OUT013,2568.332833644861
FDB33,OUT027,4117.317712631578
FDI12,OUT013,1424.5946902777778
NCW42,OUT013,3753.0000993630574
NCC06,OUT018,1752.2524400000002
FDW02,OUT017,1987.251048648648
NCD43,OUT017,1690.234086238532
FDM57,OUT018,1259.549051315789
FDA58,OUT017,3737.29577518248
FDK56,OUT046,3384.1080642424226
FDP52,OUT045,4109.900606217617
FDW20,OUT018,1752.2524400000002
FDS52,OUT049,1690.234086238532
NCT29,OUT018,1752.2524400000002
NCL54,OUT013,2851.631695876289
FDC05,OUT045,3130.004904950494
FDF34,OUT035,2752.9709346534646
FDP03,OUT027,3242.062071532848
FDD32,OUT010,219.21852093023253
FDZ10,OUT045,1827.8328454545453
FDZ40,OUT035,935.0323883040932
FDD51,OUT018,507.046403669725
NCY30,OUT019,425.93559145299156
FDP58,OUT017,3737.29577518248
FDV49,OUT017,4433.304032653059
FDY24,OUT019,165.91858165137623
