Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1850.0
FDW14,OUT017,1567.5
NCN55,OUT010,1877.75
FDQ58,OUT017,2583.5
FDY38,OUT027,5186.5
FDH56,OUT046,1925.0
FDL48,OUT018,598.5
FDC48,OUT027,2783.5
FDN33,OUT045,1509.5
FDA36,OUT017,3081.5
FDT44,OUT017,1995.5
FDQ56,OUT045,1310.5
NCC54,OUT019,1864.0
FDU11,OUT049,2054.0
DRL59,OUT013,891.25
FDM24,OUT049,2555.0
FDI57,OUT045,3088.5
DRC12,OUT018,2761.0
NCM42,OUT027,3196.5
FDA46,OUT010,1138.25
FDA31,OUT013,2799.75
NCJ31,OUT035,3883.5
FDG52,OUT046,803.75
NCL19,OUT019,368.75
FDS10,OUT035,3023.5
FDX22,OUT010,1458.25
NCF19,OUT035,922.5
NCE06,OUT046,2536.0
DRC27,OUT046,3853.5
FDE21,OUT035,2026.5
NCR42,OUT019,-1356.25
FDX51,OUT018,2863.0
NCR06,OUT018,423.0
FDU31,OUT027,4949.5
FDU59,OUT017,2709.5
FDR03,OUT027,4757.0
FDS49,OUT027,2758.5
FDD48,OUT010,-70.75
NCF18,OUT017,3118.5
NCD43,OUT027,3101.5
NCD54,OUT018,1990.5
FDY19,OUT010,-32.25
NCY54,OUT017,2814.5
NCL19,OUT018,2015.0
FDP23,OUT010,1532.0
FDC26,OUT013,1819.25
FDR14,OUT010,-1027.0
NCS41,OUT035,3028.5
FDF41,OUT035,4050.5
FDU34,OUT046,2003.0
DRH11,OUT046,929.75
FDM03,OUT013,1734.75
FDS31,OUT017,3024.5
FDJ20,OUT017,2101.5
FDV44,OUT027,4494.5
FDG02,OUT049,3106.5
FDA09,OUT013,2907.75
FDT04,OUT013,676.75
FDL58,OUT019,2296.5
FDE52,OUT045,1443.5
FDW12,OUT035,2504.5
FDL51,OUT017,3553.5
NCY42,OUT027,3691.5
FDR07,OUT017,1667.5
FDN40,OUT045,2361.5
FDB35,OUT027,2960.0
FDA22,OUT017,2736.5
NCL06,OUT046,4115.5
FDI35,OUT013,2912.75
NCW42,OUT045,3413.5
NCX06,OUT049,2943.0
FDC37,OUT027,3202.5
FDZ14,OUT018,1728.0
DRG49,OUT049,3956.5
NCG06,OUT045,3958.5
DRC36,OUT045,2725.0
FDV21,OUT019,66.75
FDB53,OUT046,2357.5
DRP47,OUT019,2048.0
FDA14,OUT013,2346.75
DRC24,OUT035,2574.0
FDW21,OUT018,1398.5
NCH29,OUT046,1552.25
FDU58,OUT013,3071.25
FDY27,OUT017,2931.5
FDV56,OUT035,1952.5
FDT59,OUT046,3658.5
FDB23,OUT046,3624.75
FDR49,OUT045,694.5
FDB03,OUT010,1922.0
FDN39,OUT045,2617.5
FDX02,OUT027,4985.5
FDQ16,OUT027,3195.5
FDU35,OUT018,1323.0
NCT29,OUT013,1958.75
FDZ27,OUT046,819.25
FDN57,OUT017,2350.5
FDA03,OUT018,2092.0
FDZ36,OUT045,2921.5
NCU05,OUT013,1322.75
FDT39,OUT018,2183.5
FDK60,OUT017,1710.5
FDZ25,OUT017,2846.5
FDG12,OUT046,2014.0
DRB01,OUT019,1121.0
NCC43,OUT027,5375.5
FDX13,OUT019,2037.0
FDM22,OUT049,1031.0
FDJ03,OUT027,2312.5
FDU14,OUT018,3673.0
FDB33,OUT010,636.25
FDP27,OUT046,3014.5
FDO38,OUT010,-665.25
FDE28,OUT027,5149.5
FDO27,OUT035,1704.5
DRL23,OUT027,3174.5
FDS28,OUT046,969.0
FDX24,OUT013,1537.75
FDZ02,OUT035,1750.5
FDL46,OUT045,1815.5
FDS60,OUT027,4301.5
NCO06,OUT017,639.5
FDO16,OUT035,1530.5
FDC60,OUT049,1547.5
FDA48,OUT018,3194.5
FDZ36,OUT027,4452.0
FDK27,OUT045,1881.5
FDW23,OUT018,378.5
FDM14,OUT018,1504.0
FDM14,OUT013,1782.75
FDW60,OUT018,2597.0
FDE21,OUT013,1907.75
NCM42,OUT035,1883.5
FDY59,OUT010,-383.75
DRI49,OUT049,1383.5
FDT28,OUT019,518.0
FDQ22,OUT018,404.0
FDR60,OUT049,1335.5
FDC50,OUT019,-388.75
FDV24,OUT013,2439.75
DRF48,OUT010,1072.0
FDQ47,OUT046,649.0
DRN36,OUT049,1661.5
NCY06,OUT035,2177.5
FDE52,OUT035,1646.5
NCB54,OUT045,1940.5
NCF31,OUT035,2551.5
FDJ08,OUT027,4454.5
NCC07,OUT017,1794.5
NCD19,OUT027,2330.5
FDL46,OUT049,2012.0
FDM20,OUT045,3827.5
NCI06,OUT010,928.0
DRM11,OUT035,4222.0
NCH07,OUT018,2210.0
FDS23,OUT013,2084.75
FDO49,OUT018,592.0
FDS35,OUT049,1164.0
DRK39,OUT045,1263.0
DRI39,OUT049,1043.5
FDV04,OUT017,2643.5
NCN14,OUT035,3010.5
FDH08,OUT013,3691.75
FDS20,OUT046,2910.0
FDV40,OUT049,1343.0
FDZ48,OUT010,-139.75
FDS24,OUT027,2918.5
FDK44,OUT049,2860.0
FDS48,OUT045,2341.5
FDK26,OUT010,1103.5
FDD23,OUT045,2970.5
NCH54,OUT017,2644.5
NCP14,OUT010,-245.25
FDM60,OUT010,-1195.75
FDV24,OUT017,2506.5
FDH08,OUT018,3348.0
FDS12,OUT027,3474.0
FDR39,OUT027,4319.5
FDP12,OUT027,2125.5
DRF60,OUT027,5177.5
FDC09,OUT035,1853.5
FDF50,OUT018,2856.0
FDG28,OUT035,4043.5
NCE19,OUT017,990.5
NCM53,OUT010,-196.0
NCN18,OUT049,1849.0
FDF32,OUT035,3302.5
FDF11,OUT013,3863.75
DRI59,OUT049,3651.0
NCG54,OUT035,2809.5
FDM44,OUT046,1645.5
FDT57,OUT018,3465.0
FDV24,OUT046,2403.75
FDI50,OUT019,1762.0
FDS09,OUT035,1038.5
NCC31,OUT027,3897.5
FDQ07,OUT019,1605.5
FDC22,OUT017,3172.5
FDZ56,OUT046,2704.5
FDZ40,OUT019,-988.25
FDS46,OUT027,3400.5
DRD24,OUT045,2172.0
FDV45,OUT017,3109.5
FDL26,OUT045,2415.5
FDA56,OUT018,1705.0
FDN27,OUT046,1906.25
FDM20,OUT049,3975.0
FDO16,OUT017,1460.5
FDL03,OUT035,3298.5
FDE58,OUT046,1885.0
FDI02,OUT027,3289.5
NCC55,OUT019,-1259.5
FDR03,OUT018,3035.5
FDB14,OUT017,1638.5
FDR45,OUT013,3842.75
NCN07,OUT017,2164.5
FDM51,OUT019,-188.75
FDT52,OUT027,5367.5
FDL26,OUT046,2460.5
NCZ42,OUT046,3760.0
DRI47,OUT019,430.5
FDW40,OUT013,2317.25
