Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1830.25
FDW14,OUT017,1567.75
NCN55,OUT010,1876.75
FDQ58,OUT017,2583.75
FDY38,OUT027,5200.25
FDH56,OUT046,1945.75
FDL48,OUT018,589.0
FDC48,OUT027,2785.25
FDN33,OUT045,1508.75
FDA36,OUT017,3082.75
FDT44,OUT017,1991.75
FDQ56,OUT045,1305.25
NCC54,OUT019,1880.25
FDU11,OUT049,2039.25
DRL59,OUT013,884.25
FDM24,OUT049,2545.25
FDI57,OUT045,3084.75
DRC12,OUT018,2736.5
NCM42,OUT027,3195.75
FDA46,OUT010,1142.25
FDA31,OUT013,2820.5
NCJ31,OUT035,3865.75
FDG52,OUT046,816.25
NCL19,OUT019,380.25
FDS10,OUT035,3008.25
FDX22,OUT010,1467.75
NCF19,OUT035,895.75
NCE06,OUT046,2550.0
DRC27,OUT046,3857.25
FDE21,OUT035,2009.75
NCR42,OUT019,-1348.75
FDX51,OUT018,2862.5
NCR06,OUT018,404.5
FDU31,OUT027,4963.25
FDU59,OUT017,2710.75
FDR03,OUT027,4768.25
FDS49,OUT027,2761.25
FDD48,OUT010,-70.75
NCF18,OUT017,3111.5
NCD43,OUT027,3099.75
NCD54,OUT018,1975.5
FDY19,OUT010,-34.25
NCY54,OUT017,2809.5
NCL19,OUT018,2001.5
FDP23,OUT010,1538.25
FDC26,OUT013,1836.5
FDR14,OUT010,-1029.25
NCS41,OUT035,3009.25
FDF41,OUT035,4041.25
FDU34,OUT046,2018.25
DRH11,OUT046,926.25
FDM03,OUT013,1750.5
FDS31,OUT017,3028.25
FDJ20,OUT017,2100.25
FDV44,OUT027,4507.25
FDG02,OUT049,3094.25
FDA09,OUT013,2931.5
FDT04,OUT013,687.5
FDL58,OUT019,2327.25
FDE52,OUT045,1440.75
FDW12,OUT035,2494.75
FDL51,OUT017,3556.75
NCY42,OUT027,3692.75
FDR07,OUT017,1660.75
FDN40,OUT045,2359.75
FDB35,OUT027,2966.25
FDA22,OUT017,2737.25
NCL06,OUT046,4132.0
FDI35,OUT013,2931.5
NCW42,OUT045,3405.5
NCX06,OUT049,2921.75
FDC37,OUT027,3205.25
FDZ14,OUT018,1725.0
DRG49,OUT049,3929.25
NCG06,OUT045,3952.0
DRC36,OUT045,2707.25
FDV21,OUT019,86.25
FDB53,OUT046,2375.75
DRP47,OUT019,2053.25
FDA14,OUT013,2363.5
DRC24,OUT035,2539.0
FDW21,OUT018,1394.5
NCH29,OUT046,1563.0
FDU58,OUT013,3096.5
FDY27,OUT017,2932.75
FDV56,OUT035,1938.75
FDT59,OUT046,3679.75
FDB23,OUT046,3648.25
FDR49,OUT045,687.25
FDB03,OUT010,1931.25
FDN39,OUT045,2616.25
FDX02,OUT027,4994.25
FDQ16,OUT027,3196.25
FDU35,OUT018,1315.5
NCT29,OUT013,1969.75
FDZ27,OUT046,833.25
FDN57,OUT017,2346.25
FDA03,OUT018,2087.0
FDZ36,OUT045,2925.25
NCU05,OUT013,1330.75
FDT39,OUT018,2182.0
FDK60,OUT017,1709.25
FDZ25,OUT017,2848.25
FDG12,OUT046,2035.25
DRB01,OUT019,1125.25
NCC43,OUT027,5380.75
FDX13,OUT019,2062.25
FDM22,OUT049,1014.25
FDJ03,OUT027,2317.25
FDU14,OUT018,3670.0
FDB33,OUT010,636.75
FDP27,OUT046,3035.75
FDO38,OUT010,-668.25
FDE28,OUT027,5164.25
FDO27,OUT035,1692.75
DRL23,OUT027,3157.25
FDS28,OUT046,987.25
FDX24,OUT013,1553.5
FDZ02,OUT035,1737.75
FDL46,OUT045,1807.25
FDS60,OUT027,4306.25
NCO06,OUT017,624.5
FDO16,OUT035,1514.25
FDC60,OUT049,1535.25
FDA48,OUT018,3192.0
FDZ36,OUT027,4465.25
FDK27,OUT045,1875.75
FDW23,OUT018,368.0
FDM14,OUT018,1495.0
FDM14,OUT013,1797.5
FDW60,OUT018,2597.0
FDE21,OUT013,1923.5
NCM42,OUT035,1862.25
FDY59,OUT010,-384.25
DRI49,OUT049,1346.25
