Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1881.1986360069334
FDW14,OUT017,1603.2622734891743
NCN55,OUT010,1837.7571633209816
FDQ58,OUT017,2572.5130985160804
FDY38,OUT027,5081.478410417533
FDH56,OUT046,1932.6824161813404
FDL48,OUT018,675.9430398502129
FDC48,OUT027,2801.139825215013
FDN33,OUT045,1540.8325117453332
FDA36,OUT017,3046.906225981421
FDT44,OUT017,2005.732837276235
FDQ56,OUT045,1352.4357029822672
NCC54,OUT019,1811.8524638214437
FDU11,OUT049,2067.298436785735
DRL59,OUT013,958.2018104187418
FDM24,OUT049,2545.9568501999315
FDI57,OUT045,3049.6230557070794
DRC12,OUT018,2728.392344612718
NCM42,OUT027,3191.412897416091
FDA46,OUT010,1127.595731572318
FDA31,OUT013,2777.149997665034
NCJ31,OUT035,3796.8026399188643
FDG52,OUT046,864.7302983844583
NCL19,OUT019,399.95627028141325
FDS10,OUT035,2992.0920173464783
FDX22,OUT010,1445.561531277771
NCF19,OUT035,989.2561233688036
NCE06,OUT046,2509.407820860725
DRC27,OUT046,3759.0988931119373
FDE21,OUT035,2043.5553825004285
NCR42,OUT019,-1246.0054398022726
FDX51,OUT018,2836.6348956727556
NCR06,OUT018,512.5650699822293
FDU31,OUT027,4863.664252655454
FDU59,OUT017,2685.3310824658183
FDR03,OUT027,4682.011781186605
FDS49,OUT027,2772.645857506619
FDD48,OUT010,-11.474378704593619
NCF18,OUT017,3073.7428354433237
NCD43,OUT027,3102.2744138951834
NCD54,OUT018,2003.5338736069891
FDY19,OUT010,24.07791744886549
NCY54,OUT017,2776.271386877665
NCL19,OUT018,2027.9012038226708
FDP23,OUT010,1513.72763993275
FDC26,OUT013,1842.618033509157
FDR14,OUT010,-942.324305133241
NCS41,OUT035,2993.3369104292583
FDF41,OUT035,3961.545988371753
FDU34,OUT046,2005.9391789126473
DRH11,OUT046,973.3630011263248
FDM03,OUT013,1762.7164319905596
FDS31,OUT017,2990.640346026591
FDJ20,OUT017,2106.712669567548
FDV44,OUT027,4428.930939333813
FDG02,OUT049,3076.514554569047
FDA09,OUT013,2877.8171670358042
FDT04,OUT013,756.4494468209773
FDL58,OUT019,2229.1815147676143
FDE52,OUT045,1485.7283898428566
FDW12,OUT035,2498.2359752334432
FDL51,OUT017,3494.273272806565
NCY42,OUT027,3664.1221616327307
FDR07,OUT017,1695.033787519642
FDN40,OUT045,2354.7900926164375
FDB35,OUT027,2966.079931346524
FDA22,OUT017,2712.2510713385527
NCL06,OUT046,4015.427625461666
FDI35,OUT013,2891.0205498286255
NCW42,OUT045,3357.118556766511
NCX06,OUT049,2918.5382656999163
FDC37,OUT027,3199.5453044252067
FDZ14,OUT018,1753.9689447512394
DRG49,OUT049,3871.2363439943106
NCG06,OUT045,3877.8652489143938
DRC36,OUT045,2694.6154959309974
FDV21,OUT019,91.65955233399654
FDB53,OUT046,2337.9806496511883
DRP47,OUT019,1972.5280704263398
FDA14,OUT013,2350.074867035796
DRC24,OUT035,2554.627450923939
FDW21,OUT018,1443.4614265954037
NCH29,OUT046,1577.499674038865
FDU58,OUT013,3043.1225919320395
FDY27,OUT017,2902.2766206641054
FDV56,OUT035,1974.6862784928046
FDT59,OUT046,3587.0833641125046
FDB23,OUT046,3556.4364049274154
FDR49,OUT045,763.258305465729
FDB03,OUT010,1868.7680613863274
FDN39,OUT045,2602.5265923709203
FDX02,OUT027,4895.343737275753
FDQ16,OUT027,3191.945153133239
FDU35,OUT018,1365.1308647150186
NCT29,OUT013,1978.832566757057
FDZ27,OUT046,883.288663840207
FDN57,OUT017,2347.0663089353334
FDA03,OUT018,2101.047364554916
FDZ36,OUT045,2890.094427532965
NCU05,OUT013,1373.2075330903228
FDT39,OUT018,2190.5587406420714
FDK60,OUT017,1735.3779702026648
FDZ25,OUT017,2821.9038454225883
FDG12,OUT046,2022.0079566655825
DRB01,OUT019,1098.2693668413442
NCC43,OUT027,5260.507803270797
FDX13,OUT019,1985.748558136471
FDM22,OUT049,1098.3236977993947
FDJ03,OUT027,2348.9947371426356
FDU14,OUT018,3607.1293331555285
FDB33,OUT010,664.27118450746
FDP27,OUT046,2964.9341280091357
FDO38,OUT010,-583.3176107404948
FDE28,OUT027,5044.73420414029
FDO27,OUT035,1723.7882093378528
DRL23,OUT027,3163.9487299986154
FDS28,OUT046,1020.6300635882849
FDX24,OUT013,1583.5752425938274
FDZ02,OUT035,1779.2207849717297
FDL46,OUT045,1837.637106393901
FDS60,OUT027,4246.140585650084
NCO06,OUT017,711.8907557498059
FDO16,OUT035,1571.373342559827
FDC60,OUT049,1583.4825074558762
FDA48,OUT018,3144.494576779318
FDZ36,OUT027,4386.103142132888
FDK27,OUT045,1903.8633270852695
FDW23,OUT018,465.7668241729895
FDM14,OUT018,1543.5711862353785
FDM14,OUT013,1817.1751398550682
FDW60,OUT018,2583.7980848182806
FDE21,OUT013,1935.9930928431054
NCM42,OUT035,1904.948258835211
FDY59,OUT010,-309.84552063588035
DRI49,OUT049,1411.1546503659429
FDT28,OUT019,537.2042904797809
FDQ22,OUT018,494.5486504258635
FDR60,OUT049,1380.3894194496258
FDC50,OUT019,-336.75326885909953
FDV24,OUT013,2435.0848720661106
DRF48,OUT010,1067.1191960739218
FDQ47,OUT046,708.8190875734165
DRN36,OUT049,1687.4645221754695
NCY06,OUT035,2181.9328158016992
FDE52,OUT035,1681.3051291516954
NCB54,OUT045,1954.6302031297998
NCF31,OUT035,2538.881512298394
FDJ08,OUT027,4384.886360715689
NCC07,OUT017,1818.1617545081315
NCD19,OUT027,2367.9013531871506
FDL46,OUT049,2031.2640115798833
FDM20,OUT045,3754.5871747551273
NCI06,OUT010,934.9087926950706
DRM11,OUT035,4119.7515904244165
NCH07,OUT018,2206.8532823009095
FDS23,OUT013,2093.6722098804876
FDO49,OUT018,673.4233628261852
FDS35,OUT049,1218.2050300131014
DRK39,OUT045,1301.1925412424407
DRI39,OUT049,1094.7742574241393
FDV04,OUT017,2618.19559317946
NCN14,OUT035,2973.2492201812224
FDH08,OUT013,3634.688294065895
FDS20,OUT046,2871.009801557752
FDV40,OUT049,1397.6357572877148
FDZ48,OUT010,-83.23363502584834
FDS24,OUT027,2926.6916343464964
FDK44,OUT049,2832.4778972854306
FDS48,OUT045,2341.1318390167025
FDK26,OUT010,1106.5569945329394
FDD23,OUT045,2938.2098340573484
NCH54,OUT017,2623.3024979694515
NCP14,OUT010,-190.9889602301521
FDM60,OUT010,-1084.9297240695796
FDV24,OUT017,2491.488689203662
FDH08,OUT018,3298.867294130982
FDS12,OUT027,3445.755321133617
FDR39,OUT027,4258.942331135905
FDP12,OUT027,2172.8075264614095
DRF60,OUT027,5067.958302474115
FDC09,OUT035,1878.6795213848332
FDF50,OUT018,2821.7896394781924
FDG28,OUT035,3961.947060684629
NCE19,OUT017,1046.4131359423188
NCM53,OUT010,-135.5788803122016
NCN18,OUT049,1870.1149743616597
FDF32,OUT035,3254.7320676202107
FDF11,OUT013,3799.0843861523344
DRI59,OUT049,3582.4289232449596
NCG54,OUT035,2781.9294702334532
FDM44,OUT046,1669.2284654574376
FDT57,OUT018,3410.0128432091374
FDV24,OUT046,2384.7340508744355
FDI50,OUT019,1726.870992761075
FDS09,OUT035,1098.2127418138361
NCC31,OUT027,3859.3909302322313
FDQ07,OUT019,1569.6398618431137
FDC22,OUT017,3123.362875863564
FDZ56,OUT046,2678.022611605981
FDZ40,OUT019,-893.794410477374
FDS46,OUT027,3386.889566473308
DRD24,OUT045,2168.593291364718
FDV45,OUT017,3071.349662822814
FDL26,OUT045,2407.0844885322595
FDA56,OUT018,1735.2012715279152
FDN27,OUT046,1917.144158634638
FDM20,OUT049,3901.457873450076
FDO16,OUT017,1502.6032391696106
FDL03,OUT035,3254.981630926168
FDE58,OUT046,1895.7395993240225
FDI02,OUT027,3276.0154834817904
NCC55,OUT019,-1157.74294900468
FDR03,OUT018,3002.561109537587
FDB14,OUT017,1665.560652637617
FDR45,OUT013,3777.5590477532714
NCN07,OUT017,2169.522560941375
FDM51,OUT019,-129.864385060205
FDT52,OUT027,5259.425448073978
FDL26,OUT046,2441.8297634563396
NCZ42,OUT046,3681.92995080153
DRI47,OUT019,450.22078075540935
FDW40,OUT013,2319.132142306275
FDN34,OUT046,2712.108654975081
FDS01,OUT035,2960.473177188239
NCG55,OUT045,1800.6477593510701
FDC11,OUT035,1579.5388835325207
FDX35,OUT018,3284.9494037479512
NCB06,OUT046,2499.7860441464845
FDR09,OUT019,2140.1176588524095
FDC53,OUT017,1714.1518082550347
FDY45,OUT013,3992.9046310128633
FDA22,OUT010,769.0068981283334
FDE02,OUT035,1699.3513084084618
FDW21,OUT045,1649.796078738694
FDV34,OUT046,1302.9315282341386
FDS59,OUT049,1928.7975262575526
NCW17,OUT017,2142.0888752990622
NCK54,OUT046,1874.2534622091819
FDG17,OUT019,1967.1411941581785
FDG35,OUT017,2885.530913155606
FDD08,OUT010,-1142.6223041847288
NCO07,OUT017,3376.1650610290694
FDJ10,OUT010,398.4332525470659
FDW36,OUT017,1806.2959796813982
FDW21,OUT010,-151.70420494631162
FDY19,OUT017,2019.7768397853426
DRE03,OUT013,884.5107095278461
NCC55,OUT049,801.1805791933593
FDH52,OUT010,-724.647266875802
FDO09,OUT017,4206.4625364755675
FDU43,OUT045,3691.0686237186947
FDX09,OUT010,875.1743680664272
FDH40,OUT019,-440.085343088163
FDW58,OUT017,1828.5504655395807
FDC47,OUT017,3614.177377465374
NCR41,OUT035,1688.5035812563685
DRG49,OUT035,3903.6690111045705
FDC52,OUT027,3898.681950062797
FDY13,OUT046,1271.9674164494418
FDY35,OUT013,906.6280205436462
FDI35,OUT017,2962.3521542885983
NCU18,OUT049,2333.9818604812062
FDY33,OUT018,2276.57273983719
FDC15,OUT027,3889.355291376435
FDU01,OUT049,3085.5200913494664
NCU42,OUT046,2651.6155424771487
