Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1685.0356276186346
FDW14,OUT017,1381.080402485982
NCN55,OUT010,541.8112787788865
FDQ58,OUT017,2471.222364428533
FDY38,OUT027,5365.026137572234
FDH56,OUT046,1884.9017825492047
FDL48,OUT018,729.5021930137909
FDC48,OUT027,2265.7299941670026
FDN33,OUT045,1554.063706241591
FDA36,OUT017,3200.0133871018124
FDT44,OUT017,1875.9401734470866
FDQ56,OUT045,1384.4726089295739
NCC54,OUT019,541.8112787788865
FDU11,OUT049,1951.7845833183187
DRL59,OUT013,859.3441566234667
FDM24,OUT049,2413.299629972208
FDI57,OUT045,2998.869567632844
DRC12,OUT018,2973.811789246748
NCM42,OUT027,2911.4490660920733
FDA46,OUT010,541.8112787788865
FDA31,OUT013,2702.9001558316895
NCJ31,OUT035,3833.393882451013
FDG52,OUT046,727.0665724503049
NCL19,OUT019,271.5779134971642
FDS10,OUT035,2889.1766270941725
FDX22,OUT010,541.8112787788865
NCF19,OUT035,686.6051378354175
NCE06,OUT046,2547.4701420533165
DRC27,OUT046,3941.8404336150425
FDE21,OUT035,2012.782856296361
NCR42,OUT019,210.65284880880526
FDX51,OUT018,2918.479552922143
NCR06,OUT018,686.2316191430202
FDU31,OUT027,5365.026137572234
FDU59,OUT017,2550.3710999836794
FDR03,OUT027,5365.026137572234
FDS49,OUT027,2092.275947121494
FDD48,OUT010,271.5779134971642
NCF18,OUT017,3124.63254671472
NCD43,OUT027,2911.4490660920733
NCD54,OUT018,2210.7580666348017
FDY19,OUT010,271.5779134971642
NCY54,OUT017,2835.5963325265375
NCL19,OUT018,2470.4046099873303
FDP23,OUT010,541.8112787788865
FDC26,OUT013,1705.4945626223355
FDR14,OUT010,273.73752640098377
NCS41,OUT035,3217.7162358247906
FDF41,OUT035,3969.0814448425053
FDU34,OUT046,2034.5412424620038
DRH11,OUT046,1056.220289616394
FDM03,OUT013,1618.4165810734235
FDS31,OUT017,3061.5569132080727
FDJ20,OUT017,2056.166241278319
FDV44,OUT027,5365.026137572234
FDG02,OUT049,3163.3978807894723
FDA09,OUT013,2767.202394266738
FDT04,OUT013,673.7979103058873
FDL58,OUT019,541.8112787788865
FDE52,OUT045,1422.1608600706481
FDW12,OUT035,2482.646280999576
FDL51,OUT017,3699.6099954034717
NCY42,OUT027,2911.4490660920733
FDR07,OUT017,1529.2877330482474
FDN40,OUT045,2471.222364428533
FDB35,OUT027,2911.4490660920733
FDA22,OUT017,2550.3710999836794
NCL06,OUT046,4163.787674590458
FDI35,OUT013,3042.055388145651
NCW42,OUT045,3699.6099954034717
NCX06,OUT049,2857.3823562624857
FDC37,OUT027,2911.4490660920733
FDZ14,OUT018,1933.0890063514548
DRG49,OUT049,3866.4347968662028
NCG06,OUT045,4202.070778349455
DRC36,OUT045,2883.802179240839
FDV21,OUT019,271.5779134971642
FDB53,OUT046,2457.010969640355
DRP47,OUT019,541.8112787788865
FDA14,OUT013,2442.6626478052594
DRC24,OUT035,2586.5287199340232
FDW21,OUT018,1660.822834524614
NCH29,OUT046,1600.9820202627375
FDU58,OUT013,3033.2370715998
FDY27,OUT017,2853.39150861602
FDV56,OUT035,1749.7830018334425
FDT59,OUT046,3764.793738306449
FDB23,OUT046,3683.4692963524003
FDR49,OUT045,686.6051378354175
FDB03,OUT010,541.8112787788865
FDN39,OUT045,2677.3653570399442
FDX02,OUT027,5365.026137572234
FDQ16,OUT027,2911.4490660920733
FDU35,OUT018,1486.8496494881178
NCT29,OUT013,1933.560142395497
FDZ27,OUT046,727.0665724503049
FDN57,OUT017,2033.1217746161194
FDA03,OUT018,2470.4046099873303
FDZ36,OUT045,3296.9522681769413
NCU05,OUT013,1361.5854186679603
FDT39,OUT018,2380.4766819245956
FDK60,OUT017,1547.0514049062117
FDZ25,OUT017,2848.626784474628
FDG12,OUT046,2101.560688140534
DRB01,OUT019,541.8112787788865
NCC43,OUT027,5365.026137572234
FDX13,OUT019,541.8112787788865
FDM22,OUT049,932.8642011819777
FDJ03,OUT027,789.9128949814288
FDU14,OUT018,4058.052571395194
FDB33,OUT010,398.48167456686883
FDP27,OUT046,3236.1432208492142
