Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1602.1106
FDW14,OUT017,1361.8914
NCN55,OUT010,608.3478
FDQ58,OUT017,2486.4128
FDY38,OUT027,6057.244
FDH56,OUT046,1870.6216
FDL48,OUT018,596.0904
FDC48,OUT027,2183.2834
FDN33,OUT045,1519.2329
FDA36,OUT017,3245.5342
FDT44,OUT017,1871.866
FDQ56,OUT045,1330.6592
NCC54,OUT019,593.0388
FDU11,OUT049,2080.721
DRL59,OUT013,806.35693
FDM24,OUT049,2456.8662
FDI57,OUT045,2942.338
DRC12,OUT018,2798.9146
NCM42,OUT027,2858.835
FDA46,OUT010,511.9246
FDA31,OUT013,2854.2056
NCJ31,OUT035,3861.0872
FDG52,OUT046,787.89056
NCL19,OUT019,374.09702
FDS10,OUT035,3040.6929
FDX22,OUT010,640.4862
NCF19,OUT035,803.1068
NCE06,OUT046,2573.0554
DRC27,OUT046,3887.288
FDE21,OUT035,1957.1946
NCR42,OUT019,59.464058
FDX51,OUT018,2786.657
NCR06,OUT018,514.9154
FDU31,OUT027,5414.402
FDU59,OUT017,2624.85
FDR03,OUT027,5284.6123
FDS49,OUT027,2183.2834
FDD48,OUT010,366.63785
NCF18,OUT017,3148.104
NCD43,OUT027,2644.2656
NCD54,OUT018,1908.4581
FDY19,OUT010,365.12854
NCY54,OUT017,2860.975
NCL19,OUT018,2180.1228
FDP23,OUT010,510.81833
FDC26,OUT013,1816.1163
FDR14,OUT010,221.8828
NCS41,OUT035,3279.0498
FDF41,OUT035,3893.7192
FDU34,OUT046,2069.7278
DRH11,OUT046,905.7984
FDM03,OUT013,1643.3916
FDS31,OUT017,2992.3079
FDJ20,OUT017,2082.023
FDV44,OUT027,5112.8154
FDG02,OUT049,3156.3425
FDA09,OUT013,2864.2349
FDT04,OUT013,686.65985
FDL58,OUT019,639.9812
FDE52,OUT045,1399.9006
FDW12,OUT035,2492.2673
FDL51,OUT017,3510.0383
NCY42,OUT027,3281.755
FDR07,OUT017,1494.0743
FDN40,OUT045,2387.3564
FDB35,OUT027,2533.673
FDA22,OUT017,2624.85
NCL06,OUT046,4094.0723
FDI35,OUT013,2982.2136
NCW42,OUT045,3581.5505
NCX06,OUT049,2939.5576
FDC37,OUT027,2644.2656
FDZ14,OUT018,1802.7706
DRG49,OUT049,3946.5547
NCG06,OUT045,3932.109
DRC36,OUT045,2840.8062
FDV21,OUT019,363.4452
FDB53,OUT046,2441.8567
DRP47,OUT019,627.72906
FDA14,OUT013,2441.8567
DRC24,OUT035,2546.0903
FDW21,OUT018,1465.7935
NCH29,OUT046,1571.9906
FDU58,OUT013,3151.3354
FDY27,OUT017,2893.8076
FDV56,OUT035,1695.5587
FDT59,OUT046,3874.7449
FDB23,OUT046,3664.7258
FDR49,OUT045,776.68964
FDB03,OUT010,603.85095
FDN39,OUT045,2610.2664
FDX02,OUT027,5564.616
FDQ16,OUT027,2642.7563
